[2019-08-04 04:08:39] [ErrorNO=>8, ErrroStr=>Undefined variable: sql , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\application\models\loginModel.php , ErrorLine=>7]
[2019-08-04 04:08:39] [ErrorNO=>8, ErrroStr=>Undefined variable: name , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\application\models\loginModel.php , ErrorLine=>7]
[2019-08-04 04:08:46] [ErrorNO=>8, ErrroStr=>Undefined variable: sql , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\application\models\loginModel.php , ErrorLine=>7]
[2019-08-04 04:08:46] [ErrorNO=>8, ErrroStr=>Undefined variable: name , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\application\models\loginModel.php , ErrorLine=>7]
[2019-08-04 04:08:09] [ErrorNO=>8, ErrroStr=>Undefined variable: sql , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\application\models\loginModel.php , ErrorLine=>7]
[2019-08-04 04:08:17] [ErrorNO=>8, ErrroStr=>Undefined variable: sql , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\application\models\loginModel.php , ErrorLine=>7]
[2019-08-04 04:08:27] [ErrorNO=>4096, ErrroStr=>Object of class Doctrine\DBAL\Driver\PDOStatement could not be converted to string , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\application\models\loginModel.php , ErrorLine=>7]
[2019-08-04 04:08:27] [ErrorNO=>8, ErrroStr=>Object of class Doctrine\DBAL\Driver\PDOStatement could not be converted to int , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\application\models\loginModel.php , ErrorLine=>8]
[2019-08-04 05:08:00] [ErrorNO=>8, ErrroStr=>Undefined variable: countVal , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\application\models\loginModel.php , ErrorLine=>9]
[2019-08-04 05:08:21] [ErrorNO=>8, ErrroStr=>Undefined variable: countVal , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\application\models\loginModel.php , ErrorLine=>9]
[2019-08-04 05:08:12] [ErrorNO=>8, ErrroStr=>Undefined offset: 3 , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\application\controllers\login\loginController.php , ErrorLine=>6]
[2019-08-04 05:08:37] [ErrorNO=>2, ErrroStr=>implode(): Invalid arguments passed , ErrorFile=>C:\xampp\htdocs\dev\custom\BackEnd\framework\core\Autoloader.php , ErrorLine=>115]
[2019-08-06 04:08:38] [ErrorNO=>2, ErrroStr=>include_once(C:/wamp/www/dev/custom/Database/vendor/autoload.php): failed to open stream: No such file or directory , ErrorFile=>C:\wamp\www\maulik_hack\BackEnd\framework\core\Model.php , ErrorLine=>2]
[2019-08-06 04:08:38] [ErrorNO=>2, ErrroStr=>include_once(): Failed opening 'C:/wamp/www/dev/custom/Database/vendor/autoload.php' for inclusion (include_path='.;C:\php\pear;framework\core\;framework\libraries\;application\;framework\;application\controllers\login;application\models\') , ErrorFile=>C:\wamp\www\maulik_hack\BackEnd\framework\core\Model.php , ErrorLine=>2]
[2019-08-06 05:08:55] [ErrorNO=>8, ErrroStr=>Undefined variable: cnt , ErrorFile=>C:\wamp\www\maulik_hack\BackEnd\application\controllers\login\loginController.php , ErrorLine=>5]
[2019-08-07 05:08:51] [ErrorNO=>8, ErrroStr=>Undefined index: filedata , ErrorFile=>C:\wamp\www\maulik_hack\BackEnd\application\controllers\upload\uploadController.php , ErrorLine=>7]
[2019-08-07 05:08:51] [ErrorNO=>8, ErrroStr=>Undefined index: filename , ErrorFile=>C:\wamp\www\maulik_hack\BackEnd\application\controllers\upload\uploadController.php , ErrorLine=>8]
[2019-08-07 05:08:17] [ErrorNO=>8, ErrroStr=>Undefined index: filename , ErrorFile=>C:\wamp\www\maulik_hack\BackEnd\application\controllers\upload\uploadController.php , ErrorLine=>8]
[2019-08-09 11:08:57] [ErrorNO=>8, ErrroStr=>Undefined index: filedata , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\application\controllers\upload\uploadController.php , ErrorLine=>7]
[2019-08-09 11:08:57] [ErrorNO=>8, ErrroStr=>Undefined index: filename , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\application\controllers\upload\uploadController.php , ErrorLine=>8]
[2019-08-09 11:08:52] [ErrorNO=>8, ErrroStr=>Undefined index: filedata , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\application\controllers\upload\uploadController.php , ErrorLine=>7]
[2019-08-09 11:08:24] [ErrorNO=>8, ErrroStr=>Undefined index: filedata , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\application\controllers\upload\uploadController.php , ErrorLine=>7]
[2019-08-10 11:08:40] [ErrorNO=>2, ErrroStr=>include_once(C:\inetpub\wwwroot/dev/custom/Database/vendor/autoload.php): failed to open stream: No such file or directory , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\framework\core\Model.php , ErrorLine=>2]
[2019-08-10 11:08:40] [ErrorNO=>2, ErrroStr=>include_once(): Failed opening 'C:\inetpub\wwwroot/dev/custom/Database/vendor/autoload.php' for inclusion (include_path='.;C:\Program Files (x86)\Zend\ZendServer\share\ZendFramework\library;framework\core\;framework\libraries\;application\;framework\;application\controllers\login;application\models\') , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\framework\core\Model.php , ErrorLine=>2]
[2019-08-10 11:08:47] [ErrorNO=>2, ErrroStr=>include_once(C:\inetpub\wwwroot/dev/custom/Database/vendor/autoload.php): failed to open stream: No such file or directory , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\framework\core\Model.php , ErrorLine=>2]
[2019-08-10 11:08:47] [ErrorNO=>2, ErrroStr=>include_once(): Failed opening 'C:\inetpub\wwwroot/dev/custom/Database/vendor/autoload.php' for inclusion (include_path='.;C:\Program Files (x86)\Zend\ZendServer\share\ZendFramework\library;framework\core\;framework\libraries\;application\;framework\;application\controllers\login;application\models\') , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\framework\core\Model.php , ErrorLine=>2]
[2019-08-10 11:08:55] [ErrorNO=>8, ErrroStr=>Undefined variable: db , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\framework\core\Model.php , ErrorLine=>20]
[2019-08-10 11:08:55] [ErrorNO=>8, ErrroStr=>Undefined offset: 3 , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\application\controllers\login\loginController.php , ErrorLine=>16]
[2019-08-10 11:08:02] [ErrorNO=>8, ErrroStr=>Undefined variable: db , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\framework\core\Model.php , ErrorLine=>20]
[2019-08-10 11:08:02] [ErrorNO=>8, ErrroStr=>Undefined offset: 3 , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\application\controllers\login\loginController.php , ErrorLine=>16]
[2019-08-10 11:08:56] [ErrorNO=>8, ErrroStr=>Undefined offset: 3 , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\application\controllers\login\loginController.php , ErrorLine=>16]
[2019-08-10 11:08:36] [ErrorNO=>8, ErrroStr=>Undefined variable: db , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\framework\core\Model.php , ErrorLine=>20]
[2019-08-10 11:08:36] [ErrorNO=>8, ErrroStr=>Undefined offset: 3 , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\application\controllers\login\loginController.php , ErrorLine=>16]
[2019-08-10 11:08:10] [ErrorNO=>8, ErrroStr=>Undefined variable: db , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\framework\core\Model.php , ErrorLine=>20]
[2019-08-10 11:08:10] [ErrorNO=>8, ErrroStr=>Undefined offset: 3 , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\application\controllers\login\loginController.php , ErrorLine=>16]
[2019-08-10 11:08:20] [ErrorNO=>8, ErrroStr=>Undefined offset: 3 , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\application\controllers\login\loginController.php , ErrorLine=>16]
[2019-08-10 11:08:45] [ErrorNO=>8, ErrroStr=>Undefined offset: 3 , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\application\controllers\login\loginController.php , ErrorLine=>16]
[2019-08-10 11:08:19] [ErrorNO=>8, ErrroStr=>Undefined variable: db , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\framework\core\Model.php , ErrorLine=>20]
[2019-08-10 11:08:19] [ErrorNO=>8, ErrroStr=>Undefined offset: 3 , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\application\controllers\login\loginController.php , ErrorLine=>16]
[2019-08-10 11:08:57] [ErrorNO=>8, ErrroStr=>Undefined offset: 3 , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\application\controllers\login\loginController.php , ErrorLine=>16]
[2019-08-10 12:08:48] [ErrorNO=>8, ErrroStr=>Undefined offset: 3 , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\application\controllers\login\loginController.php , ErrorLine=>16]
[2019-08-10 12:08:46] [ErrorNO=>8, ErrroStr=>Undefined variable: dataAr , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\application\controllers\login\loginController.php , ErrorLine=>16]
[2019-08-10 12:08:42] [ErrorNO=>8, ErrroStr=>Undefined property: loginModel::$model , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\application\models\loginModel.php , ErrorLine=>9]
[2019-08-10 12:08:05] [ErrorNO=>8, ErrroStr=>Undefined variable: RefCol , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\framework\core\Model.php , ErrorLine=>32]
[2019-08-10 12:08:05] [ErrorNO=>8, ErrroStr=>Array to string conversion , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\framework\core\Model.php , ErrorLine=>32]
[2019-08-10 12:08:05] [ErrorNO=>8, ErrroStr=>Undefined variable: RefCol , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\framework\core\Model.php , ErrorLine=>32]
[2019-08-10 12:08:05] [ErrorNO=>8, ErrroStr=>Array to string conversion , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\framework\core\Model.php , ErrorLine=>32]
[2019-08-10 12:08:05] [ErrorNO=>8, ErrroStr=>Undefined variable: db , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\framework\core\Model.php , ErrorLine=>36]
[2019-08-10 12:08:05] [ErrorNO=>8, ErrroStr=>Undefined property: loginModel::$ , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\framework\core\Model.php , ErrorLine=>36]
[2019-08-10 12:08:46] [ErrorNO=>2, ErrroStr=>explode() expects parameter 2 to be string, array given , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\framework\core\Model.php , ErrorLine=>32]
[2019-08-10 12:08:46] [ErrorNO=>8, ErrroStr=>Undefined variable: db , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\framework\core\Model.php , ErrorLine=>36]
[2019-08-10 12:08:46] [ErrorNO=>8, ErrroStr=>Undefined property: loginModel::$ , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\framework\core\Model.php , ErrorLine=>36]
[2019-08-10 12:08:52] [ErrorNO=>2, ErrroStr=>explode() expects parameter 2 to be string, array given , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\framework\core\Model.php , ErrorLine=>32]
[2019-08-10 12:08:52] [ErrorNO=>8, ErrroStr=>Undefined variable: db , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\framework\core\Model.php , ErrorLine=>36]
[2019-08-10 12:08:52] [ErrorNO=>8, ErrroStr=>Undefined property: loginModel::$ , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\framework\core\Model.php , ErrorLine=>36]
[2019-08-10 12:08:37] [ErrorNO=>8, ErrroStr=>Undefined variable: db , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\framework\core\Model.php , ErrorLine=>36]
[2019-08-10 12:08:37] [ErrorNO=>8, ErrroStr=>Undefined property: loginModel::$ , ErrorFile=>C:\inetpub\wwwroot\maulik_hack\BackEnd\framework\core\Model.php , ErrorLine=>36]
